Antwerpen,BrabantWallon,Brussels,Hainaut,Limburg,Liège,Luxembourg,Namur,OostVlaanderen,VlaamsBrabant,WestVlaanderen
287,77,267,314,122,196,18,47,169,110,133
139,31,230,92,42,88,10,19,65,64,54
83,17,38,44,18,7,5,20,28,20,25
75,5,160,66,31,0,0,0,63,18,43
240,55,298,355,144,275,31,61,255,163,201
283,120,261,340,114,230,32,40,192,114,129
262,80,266,305,76,143,16,49,154,71,115
224,86,208,277,67,176,5,34,155,85,115
141,31,115,88,23,53,12,16,71,19,44
63,12,67,24,16,7,0,0,21,16,12
239,41,207,202,95,168,10,42,146,95,136
209,34,163,187,90,114,0,31,112,69,111
160,63,213,115,46,98,0,24,119,34,62
205,41,179,155,75,60,0,5,60,58,78
164,28,195,100,57,107,5,11,76,53,62
50,16,77,36,5,20,0,0,33,6,31
42,11,49,16,6,0,0,0,0,10,7
130,33,168,73,28,85,0,7,70,41,40
84,23,144,80,20,51,0,5,62,48,22
108,0,131,43,12,33,0,6,44,15,19
70,5,114,40,26,15,0,0,44,26,5
82,8,97,42,9,28,0,6,42,15,20
17,0,38,13,6,19,0,0,6,0,5
17,0,5,0,0,0,0,0,0,0,0
62,17,74,41,11,49,0,0,39,26,24
44,0,44,22,20,32,0,0,28,5,16
32,0,40,21,0,29,0,0,14,6,13
30,0,76,15,0,21,0,0,9,9,0
41,0,34,30,0,16,0,0,20,6,0
29,0,55,0,7,0,0,0,6,0,0
14,0,10,0,0,0,0,0,6,0,0
27,0,47,10,5,14,0,0,33,6,5
22,0,34,13,0,8,0,0,16,5,0
43,0,58,18,0,11,0,0,15,8,11
27,0,56,15,5,14,0,0,13,7,0
40,0,57,6,0,8,0,0,22,9,12
13,0,32,12,0,6,0,0,8,9,5
9,0,27,0,0,0,0,0,6,0,0
64,7,58,8,0,21,0,0,51,12,7
67,13,61,0,6,21,0,0,49,29,15
40,0,78,12,8,31,0,0,61,23,17
57,5,81,8,7,24,0,5,68,27,28
47,19,96,12,11,35,0,0,66,38,25
12,5,106,0,6,12,0,0,44,5,9
53,0,38,0,0,0,0,0,25,6,0
48,31,135,9,26,30,0,0,91,69,52
93,11,174,33,15,39,5,0,77,66,57
131,33,169,21,23,17,0,16,113,73,58
158,29,169,14,0,38,0,6,119,54,85
130,22,156,35,18,40,0,0,117,93,92
133,13,100,12,32,8,0,5,122,49,61
71,25,165,0,26,0,0,0,46,45,18
243,48,289,46,42,59,0,14,229,178,109
178,33,185,51,26,36,8,8,137,82,99
161,29,172,48,55,32,0,18,120,115,116
168,33,232,55,29,27,5,11,115,84,93
234,43,244,48,73,30,0,7,116,126,86
94,34,184,38,24,17,0,5,52,89,63
91,12,127,6,37,6,0,0,35,115,31
272,63,301,117,98,62,5,14,261,192,144
260,47,319,136,84,36,0,0,155,198,122
121,0,117,26,13,11,0,0,29,32,33
236,39,351,91,69,68,0,11,154,172,107
239,47,254,68,77,40,0,17,125,138,116
151,21,240,30,17,19,0,9,41,49,73
95,0,136,9,23,8,0,0,49,38,37
286,39,355,110,96,55,0,11,167,185,168
180,45,289,94,62,28,0,6,85,99,123
171,34,267,88,37,41,6,8,126,198,167
196,39,340,84,45,51,11,6,150,164,117
214,43,333,108,67,56,9,5,116,176,88
114,36,238,21,20,28,0,12,62,73,74
121,11,278,25,36,0,0,0,56,92,40
297,62,397,100,105,60,13,27,202,160,183
251,28,387,126,56,59,12,29,138,143,109
236,27,379,108,50,56,38,19,110,130,116
202,62,378,105,67,56,10,10,126,112,94
237,57,451,142,92,70,15,5,133,200,140
119,19,261,32,38,38,0,10,75,68,81
96,5,245,25,22,8,0,5,52,49,36
293,98,518,126,106,147,45,17,243,190,163
270,75,472,84,90,124,65,24,156,157,108
178,62,434,107,55,143,28,17,160,140,39
219,54,499,108,47,146,28,26,224,126,119
189,83,532,114,76,132,28,17,166,148,126
106,26,316,60,14,90,0,26,108,60,60
58,10,243,20,11,7,0,0,51,30,14
317,83,593,132,104,203,26,25,285,238,166
224,53,509,111,91,165,16,28,202,132,107
230,62,529,92,58,130,0,19,183,200,128
211,25,460,100,70,142,16,38,172,137,73
208,75,510,124,120,160,11,34,179,121,76
103,7,349,56,52,75,0,18,103,41,51
96,6,256,32,54,13,0,16,53,62,21
230,69,581,178,98,183,6,20,274,211,132
274,54,570,126,105,188,6,40,167,173,88
285,35,597,92,140,213,5,22,191,167,103
226,69,548,115,92,226,0,24,130,112,61
235,55,517,126,80,216,5,29,147,148,80
135,5,398,47,47,113,0,15,57,56,30
66,5,276,19,16,7,0,10,34,71,7
300,58,684,157,102,354,26,28,232,236,140
216,63,609,139,88,289,0,17,181,106,79
225,50,558,108,114,207,11,25,122,161,79
185,30,509,165,51,242,5,28,134,148,69
186,24,551,113,47,247,20,23,134,107,62
97,18,343,29,40,132,7,18,8,64,32
62,0,245,18,16,10,0,5,19,44,7
212,48,631,241,90,442,19,31,155,206,93
195,33,587,139,80,340,20,41,113,167,57
169,38,564,123,39,322,5,42,102,133,79
152,40,500,115,35,284,9,34,122,128,65
177,48,564,143,47,342,5,38,124,168,66
78,11,315,71,21,140,6,26,64,64,38
61,5,217,16,0,13,0,6,6,48,0
237,66,662,149,122,531,28,22,164,211,105
210,52,557,135,100,429,31,46,118,177,68
178,79,511,130,61,374,55,31,103,138,57
194,66,573,154,40,427,18,54,122,127,53
180,57,478,133,79,404,18,53,141,158,67
90,47,291,58,13,132,11,21,62,70,0
47,5,167,20,23,19,0,10,24,32,0
239,73,604,200,84,532,38,57,218,187,88
157,55,450,199,55,354,27,65,79,136,52
153,72,461,155,46,344,12,54,81,134,55
113,82,432,153,37,297,15,58,83,141,37
147,72,491,134,47,382,33,35,97,133,38
68,39,308,32,5,105,13,37,19,64,21
48,10,242,20,0,7,10,8,9,69,0
237,91,501,157,47,465,26,46,149,175,60
211,89,459,138,35,357,25,57,110,207,78
234,100,333,124,34,292,32,71,92,159,43
180,63,464,114,33,273,10,61,107,185,40
149,79,403,128,12,316,30,77,90,160,24
82,13,251,35,5,85,0,28,41,43,20
66,7,181,7,5,5,0,0,10,39,13
253,136,478,151,50,449,60,64,157,200,95
230,78,390,158,79,307,22,54,106,170,76
281,94,417,129,57,347,53,39,112,239,92
258,125,369,154,64,321,28,84,150,200,97
271,143,386,177,78,246,73,87,132,184,79
70,42,284,68,23,107,10,35,34,88,45
73,5,194,17,22,0,8,25,19,51,14
506,196,584,297,149,501,94,104,282,277,217
452,227,483,274,129,377,43,111,239,229,205
430,215,542,234,117,360,91,116,279,332,276
392,237,661,288,145,421,69,134,236,334,271
499,246,542,402,179,419,111,153,292,341,298
273,126,388,133,86,175,25,87,122,139,158
241,26,296,39,80,8,12,45,48,91,66
